Idx,Original,Code,Script,Start,Finish,Duration,Space,Offset
1,,,"^aprogram SpecialMusicalNumber;~~{{$$APPTYPE CONSOLE}~~begin~~end.{ESC}{UP 3}{HOME}",-4001,-4000,1,0,-593
2,,,"~uses~{TAB}JoCo;~{DOWN 2}Music.Start;~~",-4000,0,4000,0,91
3,"Code Monkey get up get coffee",CodeMonkey.GetUp.GetCoffee;,"^ Code~.Get~.GetCof~;~^{DOWN}",364,2825,2461,364,259
4,"Code Monkey go to job",CodeMonkey.&GoTo(Job);,"^ Code~.GoTo~Job{ESC}{END}~^{DOWN}",3374,4896,1522,549,123
5,"Code Monkey have boring meeting",CodeMonkey.Have(BoringMeeting).,"^ Code~.Have~^ Boring~{ESC}{END}.{ESC}~^{DOWN}",6326,8825,2499,1430,300
6,"with boring manager Rob",&With(BoringManagerRob);,"&With(^ Boring~);{ESC}~^{DOWN}",9201,10732,1531,376,121
7,,,~^{DOWN}^{DOWN}^{DOWN}^{DOWN}^{DOWN},10732,12050,1318,0,-11
8,"Rob say Code Monkey very diligent","Rob.Say(['Code Monkey very dilligent',","Rob.Say~['Code Monkey very diligent',{ESC}~",12050,14999,2949,0,322
9,"but his output stink","         'But his output stink',","{TAB}'But his output stink',~",14999,16524,1525,0,191
10,"his code not functional or elegant","         'His code not ""functional"" or ""elegant""',","'His code not ""functional"" or ""elegant""',~",18207,21003,2796,1683,334
11,"what do Code Monkey think","         'What do Code Monkey think?']);","'What do Code Monkey think?']{END}~{BKSP}",21003,22842,1839,0,288
12,"Code Monkey think maybe manager want to write login page himself","CodeMonkey.Think('maybe manager want to write login page himself');","^ Code~.Think~{ESC}~{TAB}'maybe manager want to write login page himself!'{END}{ESC}~{HOME}{TAB}",22842,28045,5203,0,622
13,"Code Monkey not say it out loud",CodeMonkey.&Not(SayItOutLoud);,"^ Code~.Not~^ Say~{ESC}{END};~",28045,31117,3072,0,381
14,"Code Monkey not crazy just proud",CodeMonkey.&Not(Crazy).Just(Proud);,"^ Code~.Not~^ Crazy~{ESC}{END}.Just~^ Proud~{END};{ESC}~",31117,34096,2979,0,335
15,,,~^{DOWN}^{DOWN}^{DOWN}^{DOWN}^{DOWN}^{DOWN}^{DOWN},34096,34096,0,0,-101
16,"Code Monkey like Fritos",CodeMonkey.Like(Fritos);,"^ Code~.Like~^ Frit~{END}{ESC}~",34096,36037,1941,0,123
17,"Code Monkey like Tab and Mountain Dew","CodeMonkey.Like(Tab and MountainDew);","^ Code~.Like~^ Ta~ and ^ Mount~{END}{ESC}~",37121,39787,2666,1084,387
18,"Code Monkey very simple man",CodeMonkey.Very(SimpleMan).,"^ Code~.Very~^ Simple~{END}{ESC}.{ESC}~",40092,42241,2149,305,265
19,"with big warm fuzzy secret heart",&With(BigWarmFuzzySecretHeart);,"^ With~^ BigWarm~{END}{ESC}~",42946,45020,2074,705,87
